Title,Description,Learning resource URL,Skills,Category that best fits this resource (can select multiple),Role level this resource is targeted at,Format,Author,Cost,Duration
Applied Procurement and Contracting,"Learn how the Aboriginal Procurement Policy supports NSW Government's commitment to growing NSW’s First Economy. On completion, you will be able to: apply the requirements for Aboriginal participation strategies, understand contract target arrangements, define addressable spend, and implement reporting requirements.",https://info.buy.nsw.gov.au/training/aboriginal-procurement-policy-for-buyers,"PRAN:1,PRAN:2,PRAN:3,STPR:1,LEAN:1,LEAN:2",,,Online,NSW Government,0,0.83
GIPA Act 2009 - Contract Disclosure Requirements,"Learn what information you need to disclose under the Government Information (Public Access) Act 2009 as a public sector employee. On completion, you should be able to: identify contracts you must disclose, define the classes of contracts and the information to release, determine disclosure time frames, know where to publish information, and locate relevant legislation, regulations, policy and guidelines.",https://info.buy.nsw.gov.au/training/contract-disclosure-requirements,"PRAN:1,PRAN:2,PRAN:3,STPR:1,LEAN:1,LEAN:2",,,Online,NSW Government,0,0.5
Modern Slavery in Procurement,"Learn how to identify and address modern slavery in the procurement supply chain. On completion, you will be able to: explain what modern slavery is, identify your agency's and your own responsibility for combatting modern slavery, identify and manage modern slavery risks during the procurement cycle, and respond to suspected or actual instances of modern slavery.",https://info.buy.nsw.gov.au/training/modern-slavery-in-procurement,"PRAN:1,PRAN:2,PRAN:3,STPR:1,LEAN:1,LEAN:2",,,Online,NSW Government,0,0.17
Enforceable Procurement Provisions,"Enforceable procurement provisions are legal requirements under Australia’s international procurement agreements. Learn who must comply with the Direction, what thresholds apply and the required market approach.",https://info.buy.nsw.gov.au/training/enforceable-procurement-provisions,"PRAN:1,PRAN:2,PRAN:3,STPR:1,LEAN:1,LEAN:2",,,Online,NSW Government,0,0.83
Procurement Analytics,"Learn how to access and analyse procurement data to improve business objectives and outcomes. On completion, you will be able to: understand the analytics framework and importance of visual data, use Spend Cube Online to access and export data to answer questions on government spend, and use Power BI to analyse and present data in easy to understand formats.",https://info.buy.nsw.gov.au/training/spend-cube-online,"PRAN:1,PRAN:2,PANA:2,COSM:1",,,Online,NSW Government,0,1.17
NSW eTendering for Buyers,"Learn how to create and publish a request for tender, download tenderbox content, and publish contract award notices. On completion, you'll be able to: create a request for tender (RFT), publish an RFT, use the selective RFT process to leverage supplies on prequalification schemes, access and download tenderbox content, and publish contract award notices.",https://info.buy.nsw.gov.au/training/etendering-training-for-buyers,"PRAN:1,PRAN:2,STSO:1,LEAN:1",,,Course,NSW Government,0,5
Governance - Procurement Foundations,"Learn how procurement is governed in NSW Government, including approved procurement arrangements and accreditation. On completion, you will be able to: understand how procurement in the NSW public sector is governed, understand how your agency’s accreditation status impacts its procurement, identify approved procurement arrangements that you must use, identify procurements that are exempt from using approved procurement arrangements, and understand what records you must keep. This course is part of the Procurement Foundations training, which is part of the recommended training pathway for NSW public sector procurement professionals.",https://buy.nsw.gov.au/training/procurement_foundations,"PRAN:1,PRAN:2,PRAN:3,STPR:1",,,Online,NSW Government,0,0.25
NSW Government’s Procurement Objectives - Procurement Foundations,"Learn about NSW Government’s five procurement objectives for guiding procurement decisions. On completion, you will be able to: define value for money, identify how you can promote fair and open competition, identify how you can help NSW to be the easiest state to do business, understand how being innovative in your procurement can deliver better outcomes, and understand how sustainable procurement can deliver outcomes that support society, the economy and the environment. This course is part of the Procurement Foundations training, which is part of the recommended training pathway for NSW public sector procurement professionals.",https://buy.nsw.gov.au/training/procurement_foundations,"PRAN:1,PRAN:2,PRAN:3,STPR:1,PANA:1",,,Online,NSW Government,0,0.25
Procurement Legislation and Policies - Procurement Foundations,"Learn about your obligations under a range of legislation and policies relating to procurement. On completion, you will be able to: identify your obligations under key legislation and policies related to procurement, and understand how the NSW Government's Procurement Policy Framework can be used as a single source of guidance on government objectives, requirements and rules for procurement. This course is part of the Procurement Foundations training, which is part of the recommended training pathway for NSW public sector procurement professionals.",https://buy.nsw.gov.au/training/procurement_foundations,"PRAN:1,PRAN:2,PRAN:3,STPR:1,PRRI:1,LEAN:1",,,Online,NSW Government,0,0.17
Planning Your Procurement - Procurement Foundations,"Learn how to plan your low value, low risk procurement in line with best practice. On completion, you will be able to: identify the stages of best practice procurement methodology, analyse the business need and engage your stakeholders, analyse and engage the market, and finalise your procurement strategy. This course is part of the Procurement Foundations training, which is part of the recommended training pathway for NSW public sector procurement professionals.",https://buy.nsw.gov.au/training/procurement_foundations,"PRAN:1,PRAN:2,PRAN:3,STPR:1,PANA:1,PRRI:1",,,Online,NSW Government,0,0.17
Sourcing - Procurement Foundations,"Learn how to source low value, low risk goods and services in line with best practice. On completion, you will be able to: understand you must be authorised to approach the market, understand and select the most appropriate type of market approach, develop an evaluation plan and determine your evaluation criteria, understand the role and responsibilities of the evaluation team, declare conflicts of interest, prepare your documentation and issue the RFX using a procurement system, understand how to run the tender process, understand how to evaluate tender responses and select the successful supplier, and understand how to negotiate and award the contract. This course is part of the Procurement Foundations training, which is part of the recommended training pathway for NSW public sector procurement professionals.",https://buy.nsw.gov.au/training/procurement_foundations,"PRAN:1,PRAN:2,PRAN:3,STPR:1,STSO:1,PRRI:1,COLA:1",,,Online,NSW Government,0,0.33
Implementing and Managing the Arrangement - Procurement Foundations,"Learn about implementing and managing your arrangement, including paying suppliers and your reporting obligations. On completion, you will be able to: understand how to pay suppliers, understand your reporting and contract disclosure obligations, and foster a positive relationship with the supplier to ensure delivery of procurement outcomes. This course is part of the Procurement Foundations training, which is part of the recommended training pathway for NSW public sector procurement professionals.",https://buy.nsw.gov.au/training/procurement_foundations,"PRAN:1,PRAN:2,PRAN:3,STPR:1,PRRI:1,CONM:1",,,Online,NSW Government,0,0.17
Probity in Procurement - Procurement Foundations,"Learn about your obligation to uphold the principles of probity in procurement. On completion, you will be able to: identify and apply probity principles to your procurement, and understand the role of probity advisers and auditors and when you might need to engage them. This course is part of the Procurement Foundations training, which is part of the recommended training pathway for NSW public sector procurement professionals.",https://buy.nsw.gov.au/training/procurement_foundations,"PRAN:1,PRAN:2,PRAN:3,STPR:1,PRRI:1",,,Online,NSW Government,0,0.17
Preventing Corruption in Procurement - Procurement Foundations,"Learn about your obligation to prevent corruption in procurement. On completion, you will be able to: understand the impacts of corrupt conduct, adefine corrupt conduct, identify procurement outcomes that can result from corrupt conduct, identify corruption risks in procurement, understand your obligations in preventing corruption in procurement, including managing conflicts of interest and offers of gifts and benefits, and know how to report corrupt conduct. This course is part of the Procurement Foundations training, which is part of the recommended training pathway for NSW public sector procurement professionals.",https://buy.nsw.gov.au/training/procurement_foundations,"PRAN:1,PRAN:2,PRAN:3,STPR:1,PRRI:1",,,Online,NSW Government,0,0.25
Applied Procurement and Contracting,"This 2-day course covers the complete lifecycle of a low-medium risk/value procurement from initial planning activities through to closing it out. It is for NSW Government employees who regularly undertake or manage low-medium risk/value procurement and contracting activities. On completion, you will be able to: apply NSW Government regulatory and policy framework to a procurement activity, plan a procurement, approach the market, conduct a procurement, manage a contract, and apply appropriate probity to a procurement. This course builds on the Procurement Foundations training and is part of the recommended training pathway for NSW public sector procurement professionals.",https://info.buy.nsw.gov.au/training/applied-procurement-and-contracting,"PRAN:2,PRAN:3,STPR:2,PANA:1,PANA:2,STSO:1,STSO:2,CONE:1,PRRI:1,PRRI:2,SURE:1,SURE:2,CONM:1,CONM:2,LEAN:1,COLA:1,COSM:1,COSM:2",,,Course,NSW Government,1350,14
Commercial Negotiation - Procurement Skills Booster,"Learn to plan, conduct and analyse the outcomes of commercial negotiations to achieve business objectives. On completion, you will be able to: identify benefits and common types of negotiation in government procurement, identify negotiation styles, ploys and tactics, identify key stages of negotiation, plan, conduct and conclude negotiations, and respond to and deal with negotiation issues. This course is part of the Procurement Skills Booster training, which is part of the recommended training pathway for NSW public sector procurement professionals.",https://info.buy.nsw.gov.au/training/procurement-skills-booster,"PRAN:3,CONE:1,CONE:2",,,Online,NSW Government,0,0.5
Contract Management - Procurement Skills Booster,"Learn to effectively manage contracts to ensure goods and services are delivered as agreed. On completion, you will be able to: plan to manage a contract, start up a contract, build and manage effective working relationships with suppliers and stakeholders, monitor and manage contract performance, administer contracts, and close a contract. This course is part of the Procurement Skills Booster training, which is part of the recommended training pathway for NSW public sector procurement professionals.",https://info.buy.nsw.gov.au/training/procurement-skills-booster,"PRAN:3,PRAN:4,CONM:1,CONM:2",,,Online,NSW Government,0,1
Procurement Risk Management - Procurement Skills Booster,"Learn to effectively identify, assess and mitigate procurement risks. On completion, you will be ab le to: identify requirements for risk management in procurement, communicate and consult with key stakeholders about risk, identify, analyse and evaluate key risks, develop and implement risk treatments, and monitor and review risks. This course is part of the Procurement Skills Booster training, which is part of the recommended training pathway for NSW public sector procurement professionals.",https://info.buy.nsw.gov.au/training/procurement-skills-booster,"PRAN:3,PRAN:4,PRRI:1,PRRI:2",,,Online,NSW Government,0,0.5
Managing Foreign Exchange Risk - Procurement Skills Booster,"Learn to effectively manage foreign exchange (FX) risk when buying goods and services. On completion, you will be able to: comply with your obligations for managing FX risk, identify and report FX risk in procurement activities, understand the concept of FX risk mitigation through hedging, and manage FX risk with the assistance of NSW TCorp. This course is part of the Procurement Skills Booster training, which is part of the recommended training pathway for NSW public sector procurement professionals.",https://info.buy.nsw.gov.au/training/procurement-skills-booster,"PRAN:3,PRAN:4,PRRI:1,PRRI:2,COSM:1,COSM:2",,,Online,NSW Government,0,0.33
Supplier Relationship Management - Procurement Skills Booster,"Learn to establish constructive and innovative strategic relationships based on driving value through appropriate long term relationships. On completion, you will be able to: segment suppliers and determine the appropriate type of relationship needed, develop appropriate supplier relationships, assess impacts on suppliers and work to eliminate areas of unnecessary costs, and track and monitor benefits through supplier relationships. This course is part of the Procurement Skills Booster training, which is part of the recommended training pathway for NSW public sector procurement professionals.",https://info.buy.nsw.gov.au/training/procurement-skills-booster,"PRAN:3,SURE:1,SURE:2",,,Online,NSW Government,0,0.5
PSP50616 Diploma of Procurement & Contracting,"Develop the skills and knowledge required to lead strategic and complex procurements, provide specialist advice, manage procurement and contracting functions, or to develop agency policies, processes and procurement capability. On completion you should be able to: On completion, you should be able to: develop organisational procurement plans, strategically analyse agency procurement spend by category
direct and manage continuous improvement and change in the procurement function, develop opportunities for coordinated procurement within and across agencies, manage strategic procurement negotiations, manage strategic procurement risk, and strategically direct the management of contracts across an agency. The course is delivered over 9 days (3 x 3 consecutive days). Assessment encompasses in-class group work and work-based tasks completed outside of the class sessions. This course is part of the recommended training pathway for NSW public sector procurement professionals. Participants who successfully complete the course will be awarded a nationally recognised qualification and may be eligible to apply for exemption from some CIPS Advanced Diploma in Procurement and Supply modules.",https://info.buy.nsw.gov.au/training/diploma-of-procurement-and-contracting,"PRAN:3,PRAN4,STPR:2,PANA:2,PANA:3,STSO:2,STSO:3,CONE:2,PRRI:2,SURE:2,CONM:2,LEAN:2,COLA:2,COSM:2,COSM3",,,Course,NSW Government,5900,63
PSP60616 Advanced Diploma of Procurement and Contracting,"Develop the skills and knowledge required to manage large-scale, complex goods and services procurement and contracting activities in the public sector. You will look at planning, sourcing and managing medium-high value/risk procurement activities. This includes evaluating offers, negotiating and performance managing complex contracts. On completion you should be able to: establish a governance framework for a complex procurement, develop a complex procurement plan, manage risk in a procurement, manage a complex procurement activity, evaluate a complex procurement, negotiate successful procurement outcomes, manage a complex contract, and manage contractor performance. The course is delivered over 9 days (3 x 3 consecutive days). Assessment encompasses in-class group work and work-based tasks completed outside of the class sessions. This course is part of the recommended training pathway for NSW public sector procurement professionals. Participants who successfully complete the course will be awarded a nationally recognised qualification and may be eligible to apply for exemption from some CIPS Diploma in Procurement and Supply modules.",https://info.buy.nsw.gov.au/training/advanced-diploma-of-procurement-and-contracting,"PRAN:3,PRAN4,STPR:3,PANA:3,PANA:4,STSO:3,CONE:3,PRRI:3,SURE:3,CONM:3,LEAN:3,LEAN4,COSM3",,,Course,NSW Government,6265,63
CIPS Level 4 Diploma in Procurement and Supply,"You will learn about making procurement and supply happen within an organisation, and you will be equipped with an essential range of knowledge and tools that you can apply immediately in your workplace. Learn how to apply practical, theoretical and technical knowledge, gain a clear understanding of procurement and supply and develop the ability to address complex, non-routine problems. On completion, you will be able to analyse, interpret and evaluate relevant information and ideas and have an informed awareness of differing perspectives and approaches within the profession. You will also be able to review the effectiveness and appropriateness of methods, actions and results. This qualification is at the same level as the first year of an undergraduate degree course. It’s suitable for those in operational roles or those 
managing or supervising the procurement and supply function who want to develop their career and work towards MCIPS Chartered Procurement and Supply Professional. Modules include Scope and Influence of Procurement and Supply, Defining the Business Need, Commercial Contracting, Ethical and Responsible Sourcing, Commercial Negotiation, Supplier Relationships, Whole Life Asset Management, and Procurement and Supply in Practice.",https://www.cips.org/qualifications/diploma-in-procurement-supply,"PRAN:3,STPR:2,STPR:3,PANA:2,PANA:3,STSO:2,STSO:3,CONE:2,PRRI:2,PRRI:3,SURE:2,SURE:3,CONM:2,CONM:3,LEAN:2,LEAN:3,COLA:2,COLA:3,COSM:2,COSM:3",,,Course,Chartered Institute of Procurement and Supply,1600,600
CIPS Level 5 Advanced Diploma in Procurement and Supply,"This course provides senior buyers, contract and supply chain managers with the expertise to improve organisational procurement and to fulfil organisational objectives. It gives you the knowledge base to reduce cost, improve quality and timescales, manage the supply chain and deal with legal issues. Building on the practical knowledge and understanding gained at CIPS Level 4 Diploma in Procurement and Supply you will develop a higher level of practical, theoretical and technical knowledge and understanding of procurement and supply. Your learning will focus on how to deal with key aspects of risk in supply chains and mitigation of those risks; processing and evaluating contracts and the impact of legal implications when contracts are breached. On completion of this qualification you can expect to improve your overall organisational procurement and supply performance to fulfil your organisational objectives. This course is designed for individuals working at or aspiring to the Managerial and Professional levels of the CIPS Global Standard for Procurement and Supply. It is designed for the more experienced members of the profession who are expected to develop, improve and fulfill functional business objectives and also formulate direction. To enrol in this course, you must first have achieved the CIPS Level 4 Diploma in Procurement and Supply. Core modules include Managing Teams and Individuals, Advanced Contract & Financial Management, Managing Supply Chain Risk, Managing Contractual Risk, and Managing Ethical Procurement and Supply. Elective modules include Category Management, Advanced Negotiation, Achieving Competitive Advantage Through the Supply Chain, Project and Change Management, Operations Management, and Logistics Management.",https://www.cips.org/qualifications/advanced-diploma-in-procurement-supply,"PRAN:4,STPR:3,PANA:3,STSO:3,CONE:3,PRRI:3,SURE:3,CONM:3,LEAN:3,COLA:3,COSM:3",,,Course,Chartered Institute of Procurement and Supply,1600,600
CIPS Level 6 Professional Diploma in Procurement and Supply,"This is the final level of CIPS qualifications for those working towards MCIPS Chartered Procurement and Supply Professional. Building on the knowledge and skills learned at the CIPS Level 5 Advanced Diploma in Procurement and Supply, you will be able to demonstrate strategic knowledge and leadership skills and find solutions to complex problems. It is designed to develop transferable workplace skills such as excellent 
communication and the ability to work in and lead a team. Employers have identified that the ability to think strategically and lead and influence policy and thinking are essential for progression. You will gain an understanding of different perspectives and theories and will be able to critically analyse, interpret and evaluate complex information, concepts and ideas. To enrol in this course, you must first have achieved the CIPS Level 5 Advanced Diploma in Procurement and Supply. Core modules include Strategic Ethical Leadership, Global Commercial Strategy, Global Strategic Supply Chain Management, and Future Strategic 
Challenges for the Profession. Elective modules include Strategic Programme Leadership, Commercial Data Management, Innovation in Procurement and Supply, Supply Network Design, and Global Logistics Strategy.",https://www.cips.org/qualifications/professional-diploma-in-procurement-supply,"PRAN:5,STPR:4,STPR:5,PANA:4,PANA:5,PRRI:4,SURE:4,SURE:5,LEAN:4,LEAN:5,COLA:4,COSM:4",,,Course,Chartered Institute of Procurement and Supply,1600,600
Study Resources: CIPS Level 4 Diploma in Procurement and Supply,"A series of webinar study resources for those studying towards the CIPS Level 4 Diploma in Procurement and Supply. Modules include Scope and Influence of Procurement and Supply, Defining the Business Need, Commercial Contracting, Ethical and Responsible Sourcing, Commercial Negotiation, Supplier Relationships, Whole Life Asset Management, and Procurement and Supply in Practice.",https://training.buy.nsw.gov.au/?C=1103018,"PRAN:3,STPR:2,STPR:3,PANA:2,PANA:3,STSO:2,STSO:3,CONE:2,PRRI:2,PRRI:3,SURE:2,SURE:3,CONM:2,CONM:3,LEAN:2,LEAN:3,COLA:2,COLA:3,COSM:2,COSM:3",,,Online,Chartered Institute of Procurement and Supply,0,878
Study Resources: CIPS Level 5 Advanced Diploma in Procurement and Supply,"A series of webinar study resources for those studying towards the CIPS Level 5 Advanced Diploma in Procurement and Supply. Modules include Scope and Influence of Procurement and Supply, Defining the Business Need, Commercial Contracting, Ethical and Responsible Sourcing, Commercial Negotiation, Supplier Relationships, Whole Life Asset Management, and Procurement and Supply in Practice. Modules include Managing Teams and Individuals, Advanced Contract & Financial Management, Managing Supply Chain Risk, Managing Contractual Risk, Managing Ethical Procurement and Supply, Category Management, Advanced Negotiation, Achieving Competitive Advantage Through the Supply Chain, Project and Change Management, Operations Management, and Logistics Management.",https://training.buy.nsw.gov.au/?C=1119165,"PRAN:4,STPR:3,PANA:3,STSO:3,CONE:3,PRRI:3,SURE:3,CONM:3,LEAN:3,COLA:3,COSM:3",,,Online,Chartered Institute of Procurement and Supply,0,1244
Study Resources: CIPS Level 6 Professional Diploma in Procurement and Supply,"A series of webinar study resources for those studying towards the CIPS Level 4 Diploma in Procurement and Supply. Modules include Scope and Influence of Procurement and Supply, Defining the Business Need, Commercial Contracting, Ethical and Responsible Sourcing, Commercial Negotiation, Supplier Relationships, Whole Life Asset Management, and Procurement and Supply in Practice. Modules include Strategic Ethical Leadership, Global Commercial Strategy, Global Strategic Supply Chain Management, Future Strategic Challenges for the Profession, Strategic Programme Leadership, Commercial Data Management, Innovation in Procurement and Supply, Supply Network Design, and Global Logistics Strategy.",https://training.buy.nsw.gov.au?C=1309962,"PRAN:5,STPR:4,STPR:5,PANA:4,PANA:5,PRRI:4,SURE:4,SURE:5,LEAN:4,LEAN:5,COLA:4,COSM:4",,,Online,Chartered Institute of Procurement and Supply,0,993
Join the NSW Community of Procurement Professionals (ComPrac),"The community is for procurement professionals working in the NSW public sector, and other eligible buyers. The community comes together to: learn about new or changing legislation, policy and procedures, share lessons learned and best practice, hear what’s happening in other agencies, jurisdictions and industry jointly solve problems, innovate and create new ideas by seeking advice and leveraging the collective knowledge and expertise of members, connect members with channels of support. In addition to sharing information and building knowledge and awareness, participants are encouraged to apply their learnings in their workplace.",https://info.buy.nsw.gov.au/training/community-of-practice,"PRAN:3,PRAN:4,PRAN:5,STPR:1,STPR:2,STPR:3,STPR:4,PANA:1,PANA:2,PANA:3,PANA:4,CONE:1,CONE:2,CONE:3,CONE:4,PRRI:1,PRRI:2,PRRI:3,PRRI:4,SURE:1,SURE:2,SURE:3,SURE:4,CONM:1,CONM:2,CONM:3,CONM:4,LEAN:1,LEAN:2,LEAN:3,LEAN:4,COLA:1,COLA:2,COLA:3,COLA:4,COSM:1,COSM:2,COSM:3,COSM:4",,,Online,NSW Government,0,20
Resource Hub: Negotiation,"Resources, tools, webinars and podcasts to support your development in influencing and negotiation.",https://training.buy.nsw.gov.au/?C=1342830,"CONE:1,CONE:2,CONE:3,CONE:4",,,Online,NSW Government,0,10
Resource Hub: Risk Management,"Resources, tools, webinars and podcasts to support your development in procurement risk management.",https://training.buy.nsw.gov.au?C=1755683,"PRRI:1,PRRI:2,PRRI:3,PRRI:4",,,Online,NSW Government,0,10
Resource Hub: Supplier Relationship Management ,"Resources, tools, webinars and podcasts to support your development in supplier relationship management (SRM).",https://training.buy.nsw.gov.au/?C=1313545,"SURE:1,SURE:2,SURE:3,SURE:4",,,Online,NSW Government,0,10
Resource Hub: Contract Management,"Resources, tools, webinars and podcasts to support your development in contract management.",https://training.buy.nsw.gov.au/?C=1326134,"CONM:1,CONM:2,CONM:3,CONM:4",,,Online,NSW Government,0,10
70:20:10 Foundational Professional Development,Ways you can develop your foundational procurement capabilities under the 70:20:10 model. Includes learning from others and work-based experiences.,https://info.buy.nsw.gov.au/training/foundational-professional-development,"PRAN:1,PRAN:2,STPR:1,PANA:1,CONE:1,PRRI:1,SURE:1,CONM:1,LEAN:1,COLA:1,COSM:1",,,Online,NSW Government,0,10
