ANZSCO Code,ID,Role,Purpose,Job Family Function,Job Family Role,Role Function,Alias,Grade,Salary min,Salary max,Procurement Occupation Specific focus,NSWG capabilities focus,Manager
,0,Not currently in a procurement (or similar) role,We will assess you against some general capabilities required for procurement roles.,,,,,,,,,"DIRE1, ACWI1, MASE1, COEF1, COTO1, INAN1, DERE1, PLAN1, THAN1, FINA1, TECH1, PRMA1, PRAN1",
111111,1,Chief Procurement Officer,"The Chief Procurement Officer provides leadership, vision, direction and structure to the procurement function to drive effective, efficient and value-add procurement planning, sourcing and contract management aligned with the organisation’s strategic priorities and business needs and government directions on procurement.",Procurement and Contract Management,Procurement Executive,Procurement Executive,Executive Director Procurement,PSSE Band 2,"$274,701","$345,550+","STPR5, PRRI5, SURE5","ACWI5, COTO5, WOCO5, DERE5, PRAN5, MARE4",1
111211,2,Director Procurement,"The Director Procurement leads the procurement function, including development and implementation of strategic and operational sourcing, procurement, contracting and supply management strategies and processes to deliver the best value in service outcomes and enable achievement of organisational goals.",Procurement and Contract Management,Procurement Services,Procurement and Strategic Sourcing,"Director Sourcing and Tender Negotiations, Director Strategic Procurement, Director Commercial, Head of Procurement",PSSE Band 1,"$192,600","$274,700+","STPR4, PANA5, PRRI4, SURE4","ACWI5, INAN5, DERE4, THAN4, PRAN5, OPBU3",1
111211,3,Director Category Management,"The Director Category Management provides strategic procurement leadership across a portfolio of categories, including supply market management and development, strategic planning and execution, as well as performance and risk management, to meet business needs and government directions.",Procurement and Contract Management,Procurement Services,Category Management,,PSSE Band 1,"$192,600","$274,700+","STPR4, PANA5, PRRI4, SURE4","ACWI5, INAN5, DERE4, THAN4, PRAN5, OPBU3",1
111211,4,Director Contract Management,"The Director Contract Management leads the development and implementation of supplier and contract management strategy and services, including supplier relationship development, contract performance and risk management, to deliver innovative, value-for-money supply that meets stakeholder expectations and business objectives.",Procurement and Contract Management,Contract Management,Contract Management,Director Contracts and Supplier Relationships,PSSE Band 1,"$192,600","$274,700+","CONE4, SURE5, CONM4, COLA4","ACWI5, COEF4, WOCO4, INAN5, DERE4, THAN5, PRAN5, OPBU4",1
111211,5,Director Supplier Development,"The Director Supplier Development drives transformational change in the business approach to suppliers and establishes a strategic supplier development program for mutual benefit, to leverage supplier capabilities, support service innovation and performance, deliver value for money and mitigate supply risk exposure.",Procurement and Contract Management,Procurement Advice,Supplier Development,,PSSE Band 1,"$192,600","$274,700+","CONE4, SURE4","ACWI4, WOCO4, INAN5, THAN5, PRAN4, OPBU3",1
111211,6,Director Procurement Policy,"The Director Procurement Policy provides high level, strategic advice on procurement policy and matters relating to the Government’s objectives. It leads the development and implementation of relevant whole of government procurement policy, and develops effective strategic stakeholder relationships within, and outside government, that generate commitment and ensure the highest level of support and engagement to drive Government objectives.",Procurement and Contract Management,Procurement Advice,Policy and Governance,,PSSE Band 1,"$192,600","$274,700+",,"ACWI4, MASE4, COEF5, INAN5, PLAN4, THAN4, MARE4, PRAN3",1
133612,7,Manager Procurement Governance,The Manager Procurement Governance drives and manages procurement governance activities to ensure the organisation/Department/Cluster is fully compliant with procurement policies and procedures and is an exemplar across government of best practice procurement governance and value for money outcomes.,Procurement and Contract Management,Procurement Advice,Policy and Governance,"Associate Director Procurement Governance, Manager Procurement Advice",Clerk Grade 11/12,"$134,400","$155,400","STPR4, PRRI4, LEAN4","ACWI4, COTO3, THAN4, OPBU3, PRAN4",1
133612,8,Manager Procurement Policy,"The Manager Procurement Policy leads in the development, delivery and implementation of a portfolio of policy initiatives and reforms that support organisational objectives and Government commitments.",Procurement and Contract Management,Procurement Advice,Policy and Governance,"Associate Director Procurement Policy, Procurement Strategy Manager, Manager Procurement Advice",Clerk Grade 11/12,"$134,400","$155,400","STPR4, PRRI4, LEAN5","ACWI4, COEF4, THAN4, OPBU3, MARE4, PRAN3",1
133612,9,Procurement Business Partner,"The Procurement Business Partner provides leadership and direction to a cross functional team of specialists to deliver expert procurement advice, guidance and services to designated business areas to enable them to effectively identify and manage procurement needs, negotiate resources and ensure alignment with procurement policies and framework. This role also contributes to formulate procurement functional strategies in line with organisational priorities and design initiatives to deliver business outcomes.",Procurement and Contract Management,Procurement Advice,Business Partnering,Business Partner,Clerk Grade 11/12,"$134,400","$155,400","STPR4, PANA4, STSO4, CONE4, PRRI4","ACWI4, COTO4, DERE4, MAAN2, PRAN4",1
133612,10,Manager Procurement Analytics,"The Manager Procurement Analytics leads the selection, deployment, and use of data resources, analytical tools and methodologies to provide procurement intelligence to support procurement and category management strategies, decision making and performance.",Procurement and Contract Management,Procurement Analysis,Procurement Analysis,Principal Procurement Analyst,Clerk Grade 11/12,"$134,400","$155,400","PANA4, PRRI4, COSM4","ACWI4, COEF4, THAN4, PRAN3, OPBU3",1
133612,11,Manager Strategic Sourcing,The Manager Strategic Sourcing leads and manages end-to-end strategic sourcing processes to assure seamless supply of goods and services to meet business objectives. The Manager develops and implements strategies to achieve continuing improvement in supplier performance and total cost of ownership.,Procurement and Contract Management,Procurement Services,Procurement and Strategic Sourcing,Senior Sourcing Manager,Clerk Grade 11/12,"$134,400","$155,400","PANA4, STSO4, CONE4","ACWI4, WOCO3, THAN4, PRAN4, MAAN3",1
