ID,Title,Url,Role Function,Author,Role Level,Format,Default
1,This is Product Management,https://tipm.feedbackloop.com/,"Product Management,
Program & Project Management",Feedback Loop,Entry,Audio,
9,Strategy in Digital Age,https://www.mckinsey.com/featured-insights/strategy-in-a-digital-age,"Service Design,
Solution Architecture,
Strategic Planning & Governance",McKinsey,Leading & managing,Written,
10,Cyber NSW Top 10 Cyber Security Tips,https://www.digital.nsw.gov.au/sites/default/files/2%20Top%2010%20tips%20case%20studies.pdf,"Business Architecture,
Business Analysis,
Security Architecture,
Security Operations,
Service Design,
Solution Architecture",NSW Gov,Entry,Written,
13,Cognitive Class - Data Science ,https://cognitiveclass.ai/learn/data-science,"Business Analysis,
Data Science",Cognitive Class,Entry,e-Learning,
15,Digital Twin,https://youtu.be/BPDKNMyyMmw,"Business Analysis,
Business Architecture,
Data Architecture,
Databases & Data Administration,
Strategic Planning & Governance,
System & Data Engineering",Digital Twin,Progressing,Video,
17,Oracle Database Documentation,https://docs.oracle.com/en/database/index.html,Databases & Data Administration,Oracle,Leading & managing,e-Learning,
19,Planning your project,https://www.youtube.com/watch?v=LhBo0T4wcM0,Program & Project Management,You Tube,Entry,Video,
20,"Project managers' responsibilities, beyond the successful project",https://www.pmi.org/learning/library/strategy-alignment-management-of-projects-9935,Program & Project Management,Product Management Institute,Entry,Written,
21,Nailing the project closure process,https://www.lucidchart.com/blog/nailing-the-project-management-closure-process,Program & Project Management,Lucid Chart,Entry,Written,
22,Google Material design,https://material.io/design,User Experience,Material Design,Entry,Written,
23,Inside Intercom Podcast,https://blog.intercom.com/category/podcast/,User Experience,Intercom,Progressing,Audio,
24,Just Enough Research / Erika Hall,https://www.youtube.com/watch?v=5WtB5FRn-Sc,User Experience,You Tube,Progressing,Video,
25,5 principles for more accurate user testing,https://medium.com/futurefriendly/5-principles-for-more-accurate-user-testing-b3c4bf698eba,"Delivery Management,
User Experience,
Strategic Planning & Governance",Future Friendly,Progressing,Written,
26,Luke Wroblewski - mobile design workshop at Google,https://www.youtube.com/watch?v=xiyOTcVHqHw,User Experience,You Tube,Progressing,Video,
27,Laws of UX,https://lawsofux.com/,User Experience,Jon Yablonski,Progressing,Written,
28,The Top 5 Behavioural Economics Principles for Designers,https://uxplanet.org/the-top-5-behavioural-economics-principles-for-designers-ea22a16a4020,User Experience,UX Planet,Leading & managing,Written,
29,Degreeless design ,https://www.degreeless.design/,User Experience,Degreeless Design,Progressing,Written,
30,The Little Book of Design Research Ethics,https://www.ideo.com/post/the-little-book-of-design-research-ethics,User Experience,Ideo,Progressing,Written,
31,Inclusive Design,https://www.microsoft.com/design/inclusive/,Service Design,Microsoft,Progressing,Written,
32,PDIA toolkit A DIY Approach to Solving Complex Problems,https://bsc.cid.harvard.edu/files/bsc/files/pdiatoolkit_ver_1_oct_2018.pdf,"Service Design,
Program & Project Management,
Product Management,
User Experience",Harvard,Progressing,Written,
33,Agile Uprising,https://agileuprising.libsyn.com/,"Change Management,
Delivery Management,
Program & Project Management,
Quality Assurance & Testing,
Release & Deployment,
Service Design,
Skill & Resource Management",Agile Uprising,Progressing,Audio,
34,CTRL+CLICK CAST,https://podcasts.apple.com/us/podcast/ctrl-click-cast/id446900959,User Experience,CTRL+CLICK CAST,Entry,Audio,
35,DrunkenPM,http://drunkenpm.blogspot.com/,"Product Management,
Program & Project Management",Drunken PM,Entry,Audio,
36,This Working Life,https://www.abc.net.au/radionational/programs/this-working-life/,Change Management,ABC,Entry,Audio,
37,The Yonder Podcast,https://podcasts.apple.com/us/podcast/the-yonder-podcast/id1139304486,"Change Management,
Skill & Resource Management",Yonder,Entry,Audio,
38,The Project Management Podcast,https://www.project-management-podcast.com/,"Program & Project Management,
Product Management,
User Experience,
Change Management",PM Podcast,Entry,Audio,
39,The Disrupt Podcast,https://disruptorshandbook.com/disrupt-podcast/,Strategic Planning & Governance,Disrupt,Entry,Audio,
40,Manager Tools podcast,https://www.manager-tools.com/all-podcasts?field_content_domain_tid=4,"Product Management,
Program & Project Management,
Skill & Resource Management,
Sourcing & Supplier Management,
Delivery Management,
Configuration Management,
Cloud Service Management,
Change Management",Manager Tools,Progressing,Audio,
41,Schmidt List,https://www.schmidt-list.com/,"Program & Project Management,
Product Management",Schmidt,Entry,Audio,
42,The Digital Project Management Podcast,https://podcasts.apple.com/ca/podcast/the-digital-project-managers-podcast/id1262608127,"Program & Project Management,
Product Management",PM Podcast,Progressing,Audio,
43,Digital transformation & skills for public servants: 6-Week Boot Camp,https://apolitical.co/digital-transformation-boot-camp/,"Change Management,
Strategic Planning & Governance",APolitical,Progressing,Audio,
44,Design of experiments,https://open.uts.edu.au/uts-open/faculty/engineering-and-information-technology/design-of-experiments--online/,User Experience,UTS,Entry,Audio,
45,Game Theory,https://oyc.yale.edu/economics/econ-159,"System & Data Engineering,
Strategic Planning & Governance",Yale,Progressing,e-Learning,
46,Learning at the Institute of Public Administration Australia,https://www.nsw.ipaa.org.au/Public/Learning/Upcoming_Courses/Public/Learning/Upcoming_Courses.aspx?hkey=264d2629-a603-4c26-ba24-5bacee0f1c4c,Strategic Planning & Governance,Institute of Public Administration Australia NSW,Entry,e-Learning,
47,Digital Practitioner Guide to Transformation,https://publications.opengroup.org/c196,"Business Architecture,
Strategic Planning & Governance",Opengroup,Progressing,Written,
48,Global Leader in Change Management Solutions ,https://www.prosci.com/resources,Change Management,PROSCI,Progressing,Written,
49,Atlassian agile and scrum resources,https://www.atlassian.com/agile,"Change Management,
Delivery Management",Atlassian,Entry,e-Learning,
50,Scrum study,https://www.scrumstudy.com/freeresources,"Change Management,
Delivery Management",Scrum Study,Entry,Written,
51,Cyber training online courses including cloud management,https://www.cybertraining365.com/cybertraining/FreeClasses,Cloud Service Management,Cyber Training 365,Entry,e-Learning,
52,Data Analyst certification,https://docs.microsoft.com/en-us/learn/certifications/data-analyst-associate/,"Databases & Data Administration,
Data Architecture",Microsoft,Progressing,e-Learning,
53,Learn to code free webinars,https://generalassemb.ly/education?dateType=any&event=true&format=classes-workshops&free=true&topic=6&where=sydney&workshop=true,DevOps,General Assembly,Entry,e-Learning,
54,DevOps engineer certification,https://docs.microsoft.com/en-us/learn/certifications/devops-engineer,DevOps,Microsoft,Entry,e-Learning,
55,Software development and collaboration tools,https://support.atlassian.com/jira-service-management-cloud/docs/best-practises-for-problem-management/,Incident & Problem Management,Atlassian,Entry,Written,
56,Introduction to Content Design Course,https://www.futurelearn.com/courses/introduction-to-content-design,Information Content Authoring,Future Learn,Entry,e-Learning,
57,Introduction to project planning,https://edex.adobe.com/resource/-26bb6,Program & Project Management,Adobe,Entry,Written,
58,Azure security engineer certification,https://docs.microsoft.com/en-us/learn/certifications/azure-security-engineer,Security Architecture,Microsoft,Progressing,e-Learning,
59,Azure security administrator certification,https://docs.microsoft.com/en-us/learn/certifications/m365-security-administrator,Security Operations,Microsoft,Entry,e-Learning,
60,NSW Government ICT services procurement scheme,https://buy.nsw.gov.au/schemes/ict-services-scheme,Sourcing & Supplier Management,NSW Gov,Entry,Written,
61,NSW Government Procurement training,https://buy.nsw.gov.au/training,Sourcing & Supplier Management,NSW Gov,Entry,e-Learning,
62,Azure developer certification,https://docs.microsoft.com/en-us/learn/certifications/azure-developer,System & Data Engineering,Microsoft,Progressing,e-Learning,
63,Azure data scientist certification,https://docs.microsoft.com/en-us/learn/certifications/azure-data-scientist,System & Data Engineering,Microsoft,Progressing,e-Learning,
64,Azure data engineer certification,https://docs.microsoft.com/en-us/learn/certifications/azure-data-engineer,System & Data Engineering,Microsoft,Progressing,e-Learning,
65,Azure power platform app maker,https://docs.microsoft.com/en-us/learn/certifications/power-platform-app-maker,System & Data Engineering,Microsoft,Progressing,e-Learning,
66,CX Professional Association resources,https://www.cxpa.org/grow-your-knowledge/onlinecxresources,User Experience,Customer Experience Professionals Association,Entry,Written,
67,CX Professionals Community of Practice,https://www.comprac.nsw.gov.au/cx-professionals#resources--6765,User Experience,NSW Gov,Entry,Written,
68,UX Design Daily,https://www.interaction-design.org/literature/article/overview,User Experience,Interaction Design Foundation,Entry,Written,
69,UX Knowledge Base Sketch (Intro to topics),https://uxknowledgebase.com/table-of-contents-4d24ed5114ac,User Experience,UX Knowledge Base,Entry,Written,
70,Laws of UX - Principles & heuristics,https://lawsofux.com/,User Experience,Laws of UX,Entry,Written,
71,Nielsen Norman Group articles (Specific topic directions),https://www.nngroup.com/articles/,User Experience,Nielsen Group,Progressing,Written,
72,The Design Sprint,https://www.gv.com/sprint/,"Change Management,
Product Management,
Service Design,
Strategic Planning & Governance,
User Experience",GV,Entry,Written,
73,Harvard University Online Courses,https://online-learning.harvard.edu/,"System & Data Engineering,
Data Architecture",Harvard University,Progressing,e-Learning,
